ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated,Year,Month,Hour,inter_arrival_minutes
84920587,Parking Meters,150.0,2024-01-01 09:48:00,2021-08-16 12:13:00,3.25,10000326,,,CARD,Core,5/4/2023 21:36,2021,August,9,0.0
84882740,Parking Meters,150.0,2024-01-01 09:48:00,2021-08-13 12:18:00,5.5,20001732,,,CARD,Non-Core,5/4/2023 21:35,2021,August,9,0.0
84764124,Parking Meters,495.0,2024-01-01 09:48:00,2021-08-04 18:03:00,30.0,10000502,,,CARD,Core,5/4/2023 21:34,2021,August,9,0.0
84807904,Parking Meters,191.13333,2024-01-01 09:48:00,2021-08-07 13:00:00,4.25,10000120,,,CARD,Core,5/4/2023 21:34,2021,August,9,0.0
84764137,Parking Meters,135.0,2024-01-01 09:49:00,2021-08-04 12:04:00,4.75,28002803,,,CARD,Austin High,5/4/2023 21:34,2021,August,9,1.0
84777858,Parking Meters,160.56667,2024-01-01 09:49:00,2021-08-05 12:30:00,5.5,26002639,,,CARD,Mueller,5/4/2023 21:34,2021,August,9,0.0
84764122,Parking Meters,90.0,2024-01-01 09:49:00,2021-08-04 11:19:00,3.25,35001529,,,CARD,West Campus,5/4/2023 21:34,2021,August,9,0.0
84764128,Parking Meters,30.0,2024-01-01 09:50:00,2021-08-04 10:20:00,1.0,20001757,,,COINS,Non-Core,5/4/2023 21:34,2021,August,9,1.0
84764141,Parking Meters,135.0,2024-01-01 09:50:00,2021-08-04 12:05:00,4.75,71002013,,,CARD,Toomey,5/4/2023 21:34,2021,August,9,0.0
84882755,Parking Meters,90.0,2024-01-01 09:50:00,2021-08-13 11:20:00,3.25,24002422,,,CARD,East Austin,5/4/2023 21:35,2021,August,9,0.0
84807979,Parking Meters,180.0,2024-01-01 09:50:00,2021-08-07 12:50:00,7.25,35001544,,,CARD,West Campus,5/4/2023 21:34,2021,August,9,0.0
84792225,Parking Meters,135.0,2024-01-01 09:50:00,2021-08-06 12:05:00,4.75,10000520,,,CARD,Core,5/4/2023 21:34,2021,August,9,0.0
84764147,Parking Meters,120.0,2024-01-01 09:51:00,2021-08-04 11:51:00,4.25,10001050,,,CARD,Core,5/4/2023 21:34,2021,August,9,1.0
84792232,Parking Meters,120.0,2024-01-01 09:52:00,2021-08-06 11:52:00,4.25,10000655,,,CARD,Core,5/4/2023 21:34,2021,August,9,1.0
84792338,Parking Meters,300.0,2024-01-01 09:57:00,2021-08-06 14:57:00,10.0,81002103,,,CARD,Butler Shores,5/4/2023 21:34,2021,August,9,5.0
84733322,Parking Meters,719.0,2024-01-01 10:00:00,2021-08-01 21:59:00,10.0,81002108,,,CARD,Walter,6/9/2023 21:20,2021,August,10,3.0
84778108,Parking Meters,90.0,2024-01-01 10:03:00,2021-08-05 11:33:00,3.25,24002426,,,CARD,East Austin,5/4/2023 21:34,2021,August,10,3.0
84920989,Parking Meters,150.0,2024-01-01 10:06:00,2021-08-16 12:36:00,5.5,35002521,,,CARD,West Campus,5/4/2023 21:36,2021,August,10,3.0
84778225,Parking Meters,60.0,2024-01-01 10:11:00,2021-08-05 11:11:00,2.25,10000806,,,CARD,Core,5/4/2023 21:34,2021,August,10,5.0
84740741,Parking Meters,180.0,2024-01-01 10:12:00,2021-08-02 13:12:00,7.25,10000319,,,CARD,Core,6/9/2023 21:20,2021,August,10,1.0
84921292,Parking Meters,60.0,2024-01-01 10:13:00,2021-08-16 11:13:00,2.25,35002527,,,CARD,West Campus,5/4/2023 21:36,2021,August,10,1.0
84778231,Parking Meters,105.0,2024-01-01 10:13:00,2021-08-05 11:58:00,3.75,10001007,,,CARD,Core,5/4/2023 21:34,2021,August,10,0.0
84716392,Parking Meters,75.0,2024-01-01 10:14:00,2021-07-31 11:29:00,2.75,71002016,,,CARD,Toomey,5/4/2023 21:32,2021,July,10,1.0
84921295,Parking Meters,60.0,2024-01-01 10:23:00,2021-08-16 11:23:00,2.25,35001542,,,CARD,West Campus,5/4/2023 21:36,2021,August,10,9.0
84921300,Parking Meters,60.0,2024-01-01 10:23:00,2021-08-16 11:23:00,2.25,10001004,,,CARD,Core,5/4/2023 21:36,2021,August,10,0.0
84921287,Parking Meters,15.0,2024-01-01 10:24:00,2021-08-16 10:39:00,0.5,26002630,,,COINS,Mueller,5/4/2023 21:36,2021,August,10,1.0
84808734,Parking Meters,60.0,2024-01-01 10:30:00,2021-08-07 11:30:00,2.25,24002423,,,CARD,East Austin,5/4/2023 21:34,2021,August,10,6.0
84883587,Parking Meters,90.0,2024-01-01 10:35:00,2021-08-13 12:05:00,3.25,26002628,,,CARD,Mueller,5/4/2023 21:35,2021,August,10,5.0
84883602,Parking Meters,60.0,2024-01-01 10:36:00,2021-08-13 11:36:00,2.25,10001045,,,CARD,Core,5/4/2023 21:35,2021,August,10,1.0
84765487,Parking Meters,682.0,2024-01-01 10:37:00,2021-08-04 21:59:00,5.0,81002107,,,CARD,Emma,5/4/2023 21:34,2021,August,10,1.0
82936411,Parking Meters,81.0,2024-01-01 10:42:00,2021-03-23 12:03:00,2.7,71002020,,,COINS,Toomey,5/4/2023 21:09,2021,March,10,5.0
84845255,Parking Meters,120.0,2024-01-01 10:57:00,2021-08-10 12:57:00,4.25,10001001,,,CARD,Core,5/4/2023 21:35,2021,August,10,15.0
84845262,Parking Meters,60.0,2024-01-01 10:57:00,2021-08-10 11:57:00,2.25,10001220,,,CARD,Core,5/4/2023 21:35,2021,August,10,0.0
84752935,Parking Meters,60.0,2024-01-01 10:58:00,2021-08-03 11:58:00,2.25,10000880,,,CARD,Core,5/4/2023 21:34,2021,August,10,1.0
84809426,Parking Meters,120.0,2024-01-01 11:00:00,2021-08-07 13:00:00,4.25,10000709,,,CARD,Core,5/4/2023 21:34,2021,August,11,2.0
